aX,aY,aZ,gX,gY,gZ
0.05,0.45,0.76,-14.95,52.31,-26.37
0.07,0.41,0.73,-13.12,51.70,-28.50
0.09,0.38,0.74,-12.63,49.32,-29.24
0.10,0.38,0.75,-15.26,47.85,-29.36
0.11,0.41,0.74,-19.04,47.24,-28.69
0.11,0.40,0.75,-21.79,45.78,-29.85
0.12,0.42,0.76,-23.13,44.56,-30.88
0.13,0.42,0.73,-22.22,44.37,-32.35
0.14,0.42,0.71,-21.42,43.58,-33.94
0.15,0.40,0.71,-19.90,41.75,-35.16
0.16,0.40,0.72,-18.13,40.47,-36.13
0.18,0.38,0.73,-17.27,39.86,-37.48
0.19,0.37,0.70,-17.21,40.34,-38.15
0.20,0.40,0.70,-17.40,39.79,-38.02
0.21,0.41,0.69,-17.52,38.64,-38.64
0.22,0.39,0.67,-18.19,37.60,-40.59
0.23,0.38,0.68,-20.14,35.77,-41.87
0.23,0.36,0.69,-21.18,34.42,-42.24
0.24,0.39,0.69,-20.75,34.00,-42.30
0.25,0.41,0.68,-19.47,34.06,-42.91
0.26,0.40,0.65,-18.62,34.30,-44.86
0.27,0.41,0.62,-19.35,33.26,-45.59
0.28,0.37,0.63,-20.51,30.64,-47.24
0.29,0.38,0.63,-19.96,28.81,-47.67
0.29,0.37,0.61,-17.88,28.02,-47.91
0.29,0.38,0.58,-15.44,26.43,-48.83
0.31,0.38,0.61,-11.78,23.13,-49.62
0.31,0.37,0.59,-8.67,21.24,-50.96
0.33,0.33,0.56,-7.87,20.20,-52.55
0.33,0.30,0.56,-10.25,17.46,-53.47
0.34,0.28,0.60,-12.45,13.92,-53.04
0.34,0.28,0.61,-13.31,12.08,-52.55
0.34,0.29,0.60,-12.63,11.23,-52.00
0.34,0.30,0.58,-12.21,9.58,-51.82
0.35,0.28,0.58,-14.65,8.24,-53.04
0.36,0.22,0.58,-15.75,7.08,-54.20
0.36,0.21,0.56,-16.36,5.74,-53.28
0.37,0.22,0.55,-15.50,4.46,-51.82
0.38,0.22,0.55,-14.83,2.62,-51.45
0.38,0.25,0.55,-14.65,1.22,-50.90
0.39,0.25,0.54,-15.75,-0.12,-51.51
0.40,0.22,0.53,-17.58,-1.83,-52.43
0.40,0.23,0.50,-20.69,-3.60,-52.19
0.41,0.21,0.51,-23.74,-6.35,-52.19
0.41,0.22,0.56,-25.51,-9.16,-52.06
0.40,0.23,0.53,-26.37,-9.46,-51.21
0.40,0.26,0.53,-25.57,-11.17,-51.03
0.40,0.25,0.55,-24.96,-13.92,-51.70
0.40,0.24,0.54,-24.72,-15.14,-52.49
0.40,0.21,0.51,-24.05,-16.36,-53.47
0.40,0.18,0.49,-22.89,-17.94,-53.59
0.39,0.14,0.50,-22.77,-21.18,-53.34
0.39,0.12,0.53,-22.52,-25.45,-52.37
0.39,0.12,0.56,-21.79,-28.08,-51.09
0.38,0.10,0.56,-20.45,-29.30,-50.23
0.38,0.11,0.54,-20.14,-30.33,-49.19
0.39,0.06,0.57,-22.34,-32.96,-49.44
0.41,0.04,0.61,-25.15,-35.10,-48.28
0.42,0.02,0.63,-27.53,-35.58,-45.72
0.43,0.04,0.66,-30.58,-36.01,-42.48
0.42,0.06,0.71,-32.65,-36.68,-39.18
0.42,0.10,0.73,-32.23,-35.89,-36.38
0.41,0.10,0.75,-30.09,-34.73,-34.85
0.39,0.13,0.73,-26.67,-32.41,-32.96
0.38,0.18,0.71,-22.28,-31.01,-31.31
0.36,0.21,0.70,-18.19,-30.88,-31.13
0.36,0.23,0.67,-14.83,-30.88,-31.80
0.36,0.20,0.63,-12.94,-31.92,-33.20
0.35,0.17,0.65,-12.39,-35.46,-33.81
0.34,0.14,0.72,-11.90,-39.79,-33.45
0.33,0.09,0.72,-11.84,-40.41,-33.20
0.32,0.04,0.72,-10.93,-39.37,-32.17
0.31,0.03,0.69,-8.79,-39.06,-30.21
0.32,-0.00,0.65,-6.35,-39.25,-28.99
0.32,-0.05,0.60,-4.39,-40.89,-27.59
0.32,-0.05,0.62,-3.72,-45.04,-24.11
0.30,-0.04,0.69,-5.43,-51.27,-20.81
0.29,-0.05,0.80,-6.90,-55.54,-18.25
0.28,-0.05,0.87,-6.71,-56.21,-15.75
0.27,-0.02,0.89,-5.37,-53.83,-13.55
0.27,-0.04,0.88,-4.15,-50.72,-13.06
0.27,-0.07,0.83,-4.09,-47.67,-12.39
0.27,-0.12,0.78,-5.74,-46.45,-11.23
0.26,-0.09,0.78,-6.84,-47.12,-7.87
0.28,-0.10,0.80,-8.24,-48.46,-5.98
0.27,-0.10,0.78,-9.16,-48.89,-4.46
0.25,-0.07,0.79,-10.07,-49.68,-1.22
0.23,-0.05,0.85,-10.50,-52.19,1.10
0.22,-0.05,0.90,-8.06,-51.88,2.99
0.23,-0.05,0.88,-1.95,-48.16,4.39
0.24,-0.06,0.81,3.42,-44.13,5.49
0.23,-0.05,0.75,4.70,-42.85,7.75
0.20,0.02,0.78,2.44,-46.20,11.29
0.19,0.06,0.89,-0.43,-50.90,12.39
0.19,0.05,0.91,-1.10,-50.05,11.17
0.18,-0.01,0.86,-2.56,-47.12,10.07
0.17,-0.02,0.88,-5.07,-47.79,11.84
0.17,0.01,0.95,-5.86,-49.26,14.65
0.16,0.02,0.94,-3.85,-47.06,16.48
0.15,0.03,0.92,-1.40,-44.68,17.64
0.14,0.09,0.91,0.79,-44.74,19.84
0.13,0.11,0.91,0.85,-46.08,20.39
0.11,0.12,0.94,-2.75,-48.22,20.14
0.10,0.09,0.98,-6.53,-48.83,19.90
0.10,0.04,0.95,-7.32,-46.57,19.71
0.08,0.07,0.94,-4.52,-44.68,21.97
0.09,0.11,0.94,1.40,-44.19,24.54
0.10,0.06,0.86,7.69,-41.81,24.17
0.12,0.10,0.84,12.08,-43.40,27.47
0.10,0.15,0.89,11.41,-49.44,30.88
0.09,0.18,0.99,8.61,-54.87,32.59
0.07,0.20,1.11,6.35,-58.11,33.39
0.06,0.23,1.15,8.06,-56.03,34.36
0.04,0.21,1.13,11.17,-51.76,34.30
0.03,0.20,1.15,13.12,-49.38,34.91
0.01,0.27,1.13,13.31,-46.02,36.13
0.01,0.29,1.04,13.67,-41.26,34.06
0.01,0.21,0.97,14.04,-40.16,29.85
-0.01,0.15,0.98,12.08,-43.21,28.81
-0.03,0.19,1.04,10.44,-47.79,30.94
-0.05,0.16,1.09,10.56,-48.83,30.64
-0.07,0.10,1.13,12.27,-48.03,29.72
-0.08,0.06,1.17,15.69,-46.51,30.40
-0.08,0.06,1.17,19.53,-43.58,32.41
-0.10,0.09,1.13,18.98,-40.53,34.61
-0.10,0.12,1.18,14.22,-41.44,35.77
-0.10,0.11,1.23,8.79,-41.50,35.22
-0.11,0.10,1.23,5.00,-38.57,35.46
-0.11,0.08,1.22,2.01,-35.71,36.01
-0.13,0.08,1.20,0.37,-32.47,37.35
-0.14,0.10,1.16,0.18,-29.17,39.18
-0.15,0.13,1.12,0.00,-27.16,39.92
-0.15,0.14,1.06,0.85,-25.88,39.61
-0.14,0.14,1.02,1.83,-25.70,38.57
-0.13,0.08,1.03,3.72,-28.02,37.66
-0.15,0.10,1.06,3.91,-29.91,39.73
-0.17,0.16,1.11,3.05,-30.76,42.85
-0.18,0.15,1.16,3.72,-30.76,42.91
-0.19,0.16,1.15,3.91,-27.83,43.33
-0.18,0.20,1.15,4.15,-25.45,43.95
-0.18,0.19,1.16,4.46,-23.62,43.27
-0.19,0.25,1.13,5.49,-21.06,43.88
-0.19,0.26,1.15,4.88,-19.90,43.33
-0.19,0.23,1.16,3.48,-19.04,41.20
-0.21,0.22,1.11,3.48,-16.36,40.34
-0.21,0.21,1.09,5.68,-15.14,40.22
-0.21,0.21,1.08,8.42,-15.56,40.22
-0.20,0.18,1.08,8.61,-15.56,40.53
-0.21,0.18,1.07,6.77,-15.01,41.44
-0.22,0.23,1.09,5.37,-15.38,43.52
-0.23,0.22,1.14,4.94,-15.32,43.40
-0.24,0.25,1.14,5.80,-13.00,43.09
-0.24,0.25,1.11,6.41,-10.25,42.36
-0.23,0.23,1.06,5.80,-8.30,40.16
-0.24,0.24,1.06,5.43,-8.48,39.61
-0.25,0.23,1.07,4.15,-9.03,38.88
-0.25,0.19,1.10,3.05,-9.40,37.23
-0.25,0.14,1.12,3.91,-8.79,35.95
-0.25,0.13,1.09,5.92,-6.29,36.56
-0.24,0.12,1.06,7.08,-4.33,37.48
-0.24,0.12,1.07,6.84,-4.88,38.09
-0.24,0.13,1.10,4.82,-5.43,39.37
-0.24,0.15,1.16,2.38,-5.80,39.67
-0.25,0.15,1.20,1.10,-4.46,39.73
-0.25,0.18,1.20,0.06,-1.28,39.79
-0.25,0.18,1.20,-0.92,1.53,39.49
-0.25,0.16,1.21,-1.46,3.17,38.70
-0.25,0.16,1.21,-1.10,5.31,38.88
-0.25,0.14,1.20,0.37,7.08,39.12
-0.25,0.15,1.22,0.92,8.06,40.28
-0.25,0.18,1.24,-0.61,9.03,41.20
-0.26,0.20,1.26,-2.62,10.50,40.95
-0.26,0.18,1.28,-4.15,12.57,39.86
-0.26,0.17,1.30,-5.31,15.63,39.31
-0.26,0.19,1.31,-4.33,18.80,40.53
-0.26,0.20,1.26,-2.26,23.32,40.83
-0.27,0.22,1.24,-0.92,25.63,40.83
-0.26,0.23,1.23,-0.06,26.37,40.89
-0.26,0.22,1.25,0.12,27.59,39.79
-0.26,0.23,1.23,0.92,29.85,39.86
-0.25,0.24,1.21,1.71,32.35,40.10
-0.25,0.24,1.20,0.55,33.45,39.92
-0.25,0.25,1.20,-0.24,35.03,39.79
-0.24,0.25,1.19,0.73,37.23,39.67
-0.23,0.27,1.18,2.99,39.73,39.98
-0.22,0.31,1.14,6.77,42.91,39.79
-0.22,0.29,1.08,8.24,46.26,38.64
-0.21,0.29,1.05,8.24,47.00,37.60
-0.21,0.30,1.04,7.20,46.69,37.66
-0.21,0.30,1.04,5.49,46.94,36.99
-0.20,0.30,1.04,4.27,47.12,36.13
-0.20,0.29,1.05,4.52,47.73,35.10
-0.19,0.28,1.05,5.19,49.07,34.30
-0.18,0.29,1.02,6.35,50.72,34.00
-0.16,0.29,0.99,5.80,51.64,33.02
-0.16,0.34,1.01,4.58,50.66,32.23
-0.15,0.36,0.97,2.87,50.96,30.70
-0.14,0.33,0.96,-0.31,51.33,27.53
-0.13,0.33,0.96,-3.23,50.60,25.88
-0.13,0.33,0.95,-2.93,50.54,24.35
-0.11,0.34,0.93,0.18,50.48,22.83
-0.11,0.38,0.91,2.08,50.17,21.48
-0.09,0.37,0.93,3.11,48.28,18.92
-0.07,0.38,0.91,1.95,47.67,15.69
-0.06,0.36,0.90,-1.40,47.06,12.45
-0.05,0.34,0.90,-5.80,45.29,9.64
-0.04,0.34,0.93,-9.89,43.03,7.75
-0.04,0.36,0.95,-13.43,41.69,6.16
-0.02,0.35,0.96,-16.36,41.81,3.72
-0.01,0.34,0.98,-18.13,41.38,1.46
-0.00,0.35,0.99,-17.27,41.32,0.55
0.01,0.34,1.00,-15.32,41.81,-0.79
0.01,0.36,1.00,-13.98,42.30,-1.22
0.01,0.40,1.02,-13.31,42.05,-1.65
0.02,0.38,1.04,-12.94,41.63,-4.03
0.02,0.36,1.04,-13.18,42.97,-6.10
0.02,0.37,1.02,-13.06,44.25,-6.59
0.02,0.37,1.03,-12.33,44.62,-7.69
0.02,0.36,1.02,-11.90,45.17,-9.64
0.03,0.35,1.01,-11.47,45.84,-11.54
0.04,0.32,0.98,-12.21,46.69,-13.12
0.06,0.32,0.98,-13.92,46.51,-13.73
0.06,0.33,0.97,-14.89,45.84,-13.55
0.07,0.34,0.96,-14.89,45.90,-14.22
0.07,0.36,0.97,-14.10,45.23,-14.95
0.08,0.36,0.96,-12.94,45.78,-16.66
0.09,0.34,0.94,-12.21,46.88,-18.31
0.09,0.33,0.91,-11.90,47.06,-19.41
0.10,0.32,0.91,-11.47,46.02,-20.14
0.11,0.33,0.91,-11.78,45.47,-20.94
0.11,0.35,0.88,-12.57,46.20,-21.36
0.12,0.33,0.89,-13.18,45.35,-22.95
0.13,0.35,0.87,-11.78,45.29,-24.11
0.14,0.34,0.83,-10.44,46.26,-25.45
0.15,0.32,0.81,-9.22,45.10,-27.04
0.16,0.32,0.82,-7.81,43.21,-27.53
0.16,0.31,0.81,-7.57,42.42,-28.08
0.17,0.32,0.84,-7.08,41.38,-28.75
0.18,0.32,0.85,-6.04,41.26,-29.60
0.18,0.29,0.83,-4.88,41.93,-31.25
0.19,0.28,0.81,-3.54,42.42,-31.80
0.20,0.25,0.82,-1.65,41.75,-32.23
0.21,0.23,0.81,-0.12,41.44,-32.47
0.22,0.26,0.77,0.73,41.56,-32.10
0.23,0.24,0.76,0.00,39.92,-32.65
0.23,0.26,0.75,-3.11,38.15,-33.26
0.24,0.27,0.78,-7.39,36.62,-33.57
0.25,0.28,0.79,-11.78,35.95,-34.73
0.25,0.29,0.76,-13.79,36.56,-35.71
0.26,0.25,0.73,-13.92,36.25,-37.90
0.27,0.26,0.68,-13.18,36.13,-38.39
0.28,0.26,0.64,-13.31,34.30,-38.64
0.28,0.27,0.66,-14.47,30.64,-39.73
0.29,0.28,0.67,-15.87,28.38,-40.83
0.30,0.25,0.64,-16.42,27.59,-42.60
0.31,0.23,0.62,-15.81,26.55,-43.58
0.32,0.26,0.60,-13.98,24.48,-43.09
0.31,0.24,0.58,-13.12,22.16,-43.82
0.31,0.27,0.59,-13.49,18.92,-44.31
0.32,0.28,0.63,-13.00,15.63,-45.10
0.32,0.24,0.61,-11.05,14.89,-47.36
0.33,0.23,0.58,-8.67,14.34,-48.52
0.34,0.20,0.57,-6.04,12.27,-49.26
0.35,0.19,0.53,-4.33,10.50,-49.99
0.35,0.18,0.51,-6.16,7.81,-50.29
0.36,0.16,0.56,-10.01,2.69,-50.66
0.36,0.18,0.62,-13.79,-1.10,-50.29
0.37,0.16,0.66,-16.78,-2.01,-51.03
0.37,0.16,0.64,-17.70,-0.85,-51.45
0.37,0.17,0.61,-16.24,-0.67,-51.27
0.37,0.15,0.61,-14.95,-2.32,-51.94
0.37,0.10,0.58,-14.53,-3.72,-52.92
0.38,0.08,0.57,-15.38,-5.25,-52.86
0.38,0.08,0.58,-17.64,-7.51,-51.64
0.37,0.08,0.60,-19.41,-9.52,-51.03
0.37,0.05,0.62,-19.90,-10.80,-51.15
0.38,0.05,0.62,-19.04,-10.99,-50.23
0.38,0.02,0.59,-20.02,-10.38,-49.50
0.38,0.01,0.58,-21.61,-11.23,-48.10
0.38,0.04,0.58,-22.89,-12.33,-46.08
0.39,0.05,0.58,-22.09,-13.67,-44.86
0.39,0.07,0.59,-21.42,-15.63,-44.25
0.39,0.08,0.61,-20.69,-17.46,-43.40
0.38,0.06,0.61,-20.94,-18.19,-43.33
0.37,0.06,0.63,-21.97,-19.53,-42.36
0.37,0.03,0.67,-24.60,-21.30,-42.18
0.36,0.00,0.69,-28.75,-21.36,-41.44
0.36,0.00,0.71,-32.84,-21.36,-39.86
0.37,-0.00,0.73,-35.16,-21.18,-38.45
0.38,-0.01,0.71,-34.48,-19.41,-37.11
0.38,-0.02,0.65,-31.49,-18.01,-35.52
0.38,-0.02,0.61,-28.44,-19.23,-34.18
0.38,-0.01,0.59,-24.96,-22.34,-32.47
0.36,0.05,0.58,-23.19,-26.61,-30.76
0.34,0.08,0.66,-24.78,-33.57,-30.64
0.34,0.05,0.81,-27.28,-39.49,-32.47
0.34,0.03,0.85,-27.40,-38.45,-33.33
0.34,0.00,0.78,-25.51,-33.08,-33.51
0.35,-0.06,0.74,-23.80,-31.37,-34.00
0.35,-0.07,0.70,-22.22,-31.86,-32.17
0.34,-0.05,0.69,-22.46,-34.24,-29.60
0.32,-0.07,0.71,-24.29,-38.70,-28.26
0.32,-0.08,0.78,-26.31,-42.66,-26.98
0.31,-0.09,0.83,-25.76,-44.74,-25.63
0.31,-0.09,0.83,-21.79,-44.07,-23.74
0.31,-0.09,0.85,-16.85,-44.01,-21.79
0.30,-0.08,0.84,-13.49,-43.27,-19.78
0.30,-0.07,0.83,-11.66,-42.79,-17.76
0.29,-0.05,0.85,-11.47,-43.88,-16.11
0.27,-0.07,0.89,-11.96,-45.04,-14.89
0.27,-0.07,0.91,-9.77,-44.74,-13.85
0.26,-0.10,0.89,-3.72,-42.48,-12.76
0.26,-0.13,0.83,0.43,-39.92,-11.54
0.27,-0.15,0.78,0.00,-39.43,-9.52
0.26,-0.17,0.77,-4.70,-41.26,-6.77
0.24,-0.16,0.80,-9.03,-44.19,-3.05
0.23,-0.13,0.88,-7.93,-46.51,0.98
0.21,-0.07,0.95,-2.69,-45.84,5.25
0.21,-0.05,0.93,4.15,-41.02,7.87
0.21,-0.01,0.89,8.00,-36.56,9.46
0.23,0.05,0.83,8.85,-33.39,11.11
0.23,0.03,0.73,4.27,-32.35,10.56
0.22,0.05,0.73,-4.46,-36.62,11.54
0.20,0.07,0.83,-12.70,-43.95,13.31
0.17,0.14,0.91,-18.98,-47.97,14.77
0.14,0.18,1.00,-22.16,-49.80,15.20
0.13,0.21,1.09,-19.29,-49.26,13.67
0.14,0.18,1.10,-12.21,-44.07,11.11
0.14,0.10,1.01,-5.74,-37.11,8.06
0.14,0.08,0.87,-1.04,-31.80,8.06
0.14,0.04,0.80,0.06,-32.96,8.42
0.14,-0.02,0.76,-2.32,-37.60,8.73
0.12,-0.02,0.78,-7.02,-43.70,11.41
0.11,0.01,0.91,-11.35,-51.94,14.89
0.10,0.02,1.00,-13.24,-54.99,16.24
0.08,0.04,1.04,-11.78,-53.53,17.40
0.07,0.07,1.04,-8.42,-51.09,18.74
0.05,0.07,1.02,-5.68,-48.65,18.62
0.04,0.07,0.99,-2.93,-46.39,17.94
0.05,0.01,0.94,-0.61,-45.23,16.72
0.05,-0.07,0.89,-0.06,-45.10,16.42
0.03,-0.05,0.89,-1.10,-47.79,19.65
0.03,-0.06,0.95,-3.48,-51.88,21.91
0.01,-0.09,0.99,-6.41,-53.41,23.25
-0.00,-0.06,0.99,-10.50,-52.31,26.25
-0.00,-0.07,0.99,-16.66,-51.27,27.77
-0.00,-0.06,1.04,-17.94,-51.39,29.24
0.00,-0.05,1.02,-18.19,-48.40,31.74
-0.00,-0.04,1.00,-12.82,-43.95,33.69
-0.02,0.07,1.02,-5.31,-43.76,38.02
-0.04,0.17,1.04,1.28,-44.01,40.16
-0.06,0.17,1.06,3.60,-44.07,37.84
-0.06,0.11,1.12,5.00,-45.23,35.46
-0.06,0.05,1.13,5.98,-43.52,34.73
-0.07,0.07,1.12,7.14,-40.47,36.38
-0.07,0.09,1.10,6.84,-38.57,37.78
-0.08,0.06,1.08,2.81,-37.54,37.29
-0.09,0.06,1.12,-3.17,-38.94,38.21
-0.09,0.06,1.19,-6.90,-39.98,40.10
-0.11,0.10,1.22,-6.71,-37.84,42.54
-0.12,0.15,1.23,-4.27,-34.97,44.07
-0.13,0.13,1.24,-2.56,-32.04,43.15
-0.15,0.14,1.20,-1.40,-28.44,43.58
-0.16,0.13,1.18,-1.16,-25.94,43.40
-0.16,0.12,1.18,1.22,-24.23,43.03
-0.17,0.12,1.12,3.72,-21.00,43.46
-0.17,0.15,1.09,3.85,-19.59,44.25
-0.17,0.11,1.08,2.50,-20.08,43.15
-0.18,0.11,1.02,1.77,-19.71,43.27
-0.19,0.12,1.04,-0.31,-21.79,45.41
-0.21,0.11,1.08,-2.87,-24.66,46.14
-0.22,0.12,1.12,-3.91,-25.15,47.24
-0.22,0.14,1.14,-3.66,-23.19,47.97
-0.21,0.17,1.11,-1.65,-19.53,48.34
-0.20,0.19,1.09,1.83,-16.54,48.03
-0.18,0.20,1.09,9.70,-14.28,46.88
-0.18,0.22,1.03,17.15,-10.44,45.78
-0.18,0.20,0.95,18.62,-7.93,44.13
-0.18,0.20,0.97,14.95,-11.05,43.46
-0.19,0.21,1.02,9.77,-15.32,43.95
-0.21,0.22,1.10,8.42,-17.46,43.95
-0.22,0.22,1.19,11.72,-17.58,43.27
-0.23,0.22,1.22,17.09,-14.04,42.11
-0.23,0.20,1.23,20.75,-9.83,40.34
-0.24,0.18,1.25,22.77,-7.02,39.55
-0.25,0.15,1.20,22.16,-2.87,39.00
-0.26,0.16,1.17,19.90,-0.73,39.67
-0.26,0.15,1.23,16.91,-1.65,40.89
-0.26,0.13,1.28,14.10,-0.24,41.56
-0.26,0.17,1.30,12.82,3.11,44.13
-0.27,0.18,1.26,11.96,7.81,44.98
-0.27,0.20,1.28,11.47,9.70,45.29
-0.26,0.22,1.29,12.02,11.66,45.53
-0.25,0.20,1.27,11.60,14.71,44.56
-0.25,0.23,1.28,9.58,16.24,44.86
-0.26,0.24,1.28,5.19,17.52,44.92
-0.26,0.22,1.32,0.67,18.25,43.15
-0.25,0.27,1.31,-0.12,20.81,43.15
-0.25,0.26,1.25,-0.67,24.48,41.99
-0.23,0.21,1.25,-2.08,25.21,39.92
-0.23,0.19,1.24,-2.56,25.27,40.53
-0.23,0.22,1.20,-2.14,26.73,42.11
-0.23,0.25,1.18,-1.89,26.55,43.03
-0.23,0.25,1.18,-0.85,25.82,42.66
-0.23,0.28,1.18,1.10,25.82,41.99
-0.23,0.29,1.17,5.13,27.16,40.71
-0.23,0.31,1.12,9.46,29.79,38.82
-0.21,0.33,1.12,13.00,30.40,36.74
-0.19,0.30,1.11,15.69,30.76,33.39
-0.18,0.26,1.06,15.01,32.53,31.19
-0.17,0.24,1.07,12.88,31.49,30.33
-0.16,0.22,1.10,11.11,30.21,29.79
-0.16,0.22,1.11,11.17,30.03,29.97
-0.17,0.23,1.11,10.93,30.58,30.40
-0.17,0.23,1.15,8.12,30.15,29.66
-0.16,0.25,1.20,4.58,30.15,28.75
-0.15,0.23,1.19,2.20,33.20,26.92
-0.14,0.19,1.17,-0.98,36.74,24.72
-0.13,0.21,1.16,-2.62,38.70,25.09
-0.14,0.23,1.12,-2.99,41.20,25.27
-0.14,0.28,1.12,-2.81,42.11,24.90
-0.13,0.29,1.10,-1.10,42.97,23.32
-0.12,0.28,1.07,-1.10,44.80,21.00
-0.11,0.27,1.03,-2.32,45.35,19.41
-0.10,0.25,1.02,-4.52,44.25,18.31
-0.09,0.28,1.05,-5.19,42.66,18.37
-0.09,0.30,1.05,-4.94,42.48,17.46
-0.08,0.29,1.05,-5.37,42.36,15.20
-0.07,0.32,1.05,-5.55,42.48,13.49
-0.06,0.32,1.04,-6.65,42.72,11.11
-0.05,0.29,1.06,-8.73,41.87,8.54
-0.04,0.30,1.09,-8.24,41.99,7.26
-0.04,0.29,1.06,-6.77,44.80,6.53
-0.03,0.28,1.05,-6.23,46.08,5.80
-0.03,0.30,1.05,-7.32,46.63,5.68
-0.03,0.30,1.00,-8.54,48.52,5.00
-0.02,0.29,0.96,-8.12,49.01,3.54
-0.01,0.29,0.93,-5.62,48.10,2.75
-0.00,0.32,0.91,-1.77,46.45,2.08
0.01,0.33,0.90,4.33,44.37,1.04
0.02,0.32,0.86,11.84,43.33,-1.16
0.03,0.33,0.83,20.45,41.08,-2.26
0.02,0.33,0.85,27.89,36.93,-3.42
0.02,0.33,0.92,32.04,33.14,-4.70
0.03,0.26,1.00,29.24,31.86,-7.20
0.04,0.21,1.00,21.55,34.12,-8.85
0.05,0.20,0.98,12.33,37.60,-8.79
0.07,0.17,0.97,5.07,39.18,-9.52
0.07,0.12,0.95,1.40,40.34,-10.25
0.08,0.11,0.95,1.53,40.53,-8.73
0.09,0.13,0.95,2.56,40.28,-6.59
0.09,0.15,0.95,2.56,40.53,-5.80
0.10,0.19,0.94,1.40,40.89,-5.37
0.10,0.25,0.93,0.37,41.38,-5.55
0.10,0.26,0.96,-0.55,40.89,-7.93
0.11,0.24,0.99,-1.22,41.56,-10.86
0.12,0.22,0.96,-0.85,45.17,-13.24
0.13,0.19,0.91,-2.20,48.22,-15.08
0.15,0.16,0.88,-6.71,49.01,-15.87
0.16,0.13,0.84,-12.94,48.52,-15.93
0.17,0.16,0.82,-18.86,47.00,-14.47
0.17,0.16,0.84,-22.58,44.19,-13.98
0.17,0.18,0.88,-22.34,42.11,-13.92
0.17,0.24,0.90,-19.59,42.05,-13.73
0.17,0.29,0.87,-17.64,43.46,-15.14
0.18,0.26,0.90,-17.15,42.97,-18.86
0.20,0.28,0.92,-14.83,43.21,-20.94
0.20,0.25,0.83,-12.39,46.88,-23.38
0.21,0.22,0.75,-13.24,47.73,-25.82
0.22,0.24,0.76,-15.26,44.25,-26.06
0.23,0.22,0.79,-17.52,41.08,-27.71
0.23,0.23,0.79,-19.71,40.34,-28.44
0.24,0.26,0.79,-20.51,39.73,-29.05
0.24,0.25,0.78,-20.08,38.94,-30.82
0.25,0.25,0.78,-19.65,37.90,-32.65
0.26,0.22,0.77,-18.37,37.84,-34.24
0.27,0.23,0.71,-16.42,38.76,-35.16
0.28,0.23,0.69,-16.05,36.62,-35.83
0.28,0.22,0.70,-17.46,33.08,-37.66
0.28,0.21,0.73,-19.90,29.97,-38.45
0.29,0.18,0.77,-21.97,28.08,-39.49
0.29,0.21,0.75,-20.39,29.11,-39.43
0.30,0.20,0.69,-18.62,30.40,-40.16
0.31,0.16,0.68,-18.86,28.99,-41.75
0.31,0.19,0.64,-18.55,27.10,-41.38
0.31,0.18,0.63,-19.10,24.96,-41.87
0.32,0.17,0.64,-19.78,21.85,-43.03
0.32,0.17,0.65,-19.96,19.59,-43.58
