aX,aY,aZ,gX,gY,gZ
0.09,0.16,0.95,-0.24,-1.77,-0.06
0.09,0.16,0.95,-0.43,-2.08,0.06
0.09,0.16,0.95,-0.18,-2.08,0.12
0.09,0.16,0.95,-0.24,-2.14,0.00
0.09,0.16,0.95,-0.37,-2.26,0.12
0.09,0.16,0.95,-0.24,-2.14,0.12
0.09,0.16,0.95,-0.18,-1.83,0.00
0.09,0.16,0.95,-0.24,-1.65,-0.06
0.09,0.16,0.95,-0.31,-1.77,0.06
0.09,0.16,0.95,-0.31,-2.01,0.12
0.09,0.16,0.95,-0.31,-1.83,0.12
0.09,0.16,0.95,-0.24,-1.77,0.06
0.09,0.16,0.95,-0.24,-1.65,0.12
0.09,0.16,0.95,-0.61,-1.53,0.12
0.09,0.16,0.95,-0.49,-1.71,0.00
0.09,0.16,0.95,-0.43,-1.71,0.00
0.09,0.16,0.95,-0.43,-1.89,0.00
0.09,0.16,0.95,-0.31,-1.89,0.12
0.09,0.16,0.95,-0.31,-1.53,0.06
0.09,0.16,0.95,-0.55,-1.40,0.06
0.09,0.16,0.95,-0.49,-1.65,-0.06
0.09,0.16,0.95,-0.18,-1.53,0.12
0.09,0.16,0.95,-0.31,-1.59,0.12
0.09,0.16,0.95,-0.43,-1.59,-0.06
0.09,0.16,0.95,-0.43,-1.53,0.00
0.09,0.16,0.95,-0.24,-1.71,0.06
0.09,0.16,0.95,-0.49,-1.83,0.18
0.09,0.16,0.95,-0.55,-1.77,0.00
0.09,0.16,0.95,-0.31,-1.83,0.18
0.09,0.16,0.95,-0.24,-2.08,0.31
0.09,0.16,0.95,-0.31,-1.71,0.06
0.09,0.16,0.95,-0.18,-1.77,0.12
0.09,0.16,0.95,0.00,-1.71,0.12
0.09,0.16,0.95,-0.31,-1.77,0.12
0.09,0.16,0.95,-0.43,-1.89,0.12
0.09,0.16,0.95,-0.49,-1.65,0.06
0.09,0.16,0.95,-0.49,-1.77,0.00
0.09,0.16,0.95,-0.55,-1.71,0.06
0.09,0.16,0.95,-0.31,-1.77,0.06
0.09,0.16,0.95,-0.37,-1.95,0.12
0.09,0.16,0.95,-0.43,-1.71,0.00
0.09,0.16,0.95,-0.55,-1.65,0.00
0.09,0.16,0.95,-0.49,-1.89,0.06
0.09,0.16,0.95,-0.31,-1.95,0.12
0.09,0.16,0.95,-0.43,-1.59,0.12
0.09,0.16,0.95,-0.49,-1.46,0.00
0.09,0.16,0.95,-0.43,-1.59,0.06
0.09,0.16,0.95,-0.43,-1.71,0.18
0.09,0.16,0.95,-0.37,-1.46,0.06
0.09,0.16,0.95,-0.31,-1.77,0.00
0.09,0.16,0.95,-0.49,-1.65,-0.18
0.09,0.16,0.95,-0.67,-1.95,0.00
0.09,0.16,0.95,-0.37,-1.83,0.06
0.09,0.16,0.95,-0.43,-1.71,0.12
0.09,0.16,0.95,-0.49,-1.53,0.06
0.09,0.16,0.95,-0.43,-1.53,0.00
0.09,0.16,0.95,-0.31,-1.40,-0.18
0.09,0.16,0.95,-0.37,-1.83,0.12
0.09,0.16,0.95,-0.43,-1.77,0.06
0.09,0.16,0.95,-0.49,-1.83,0.06
0.09,0.16,0.95,-0.43,-1.83,0.06
0.09,0.16,0.95,-0.31,-1.95,-0.06
0.09,0.16,0.95,-0.55,-1.53,0.00
0.09,0.16,0.95,-0.37,-1.65,-0.06
0.09,0.16,0.95,-0.61,-1.65,0.00
0.09,0.16,0.95,-0.49,-1.77,0.12
0.09,0.16,0.95,-0.49,-1.89,0.12
0.09,0.16,0.95,-0.31,-1.89,0.06
0.09,0.16,0.95,-0.37,-1.65,0.06
0.09,0.16,0.95,-0.31,-1.83,0.12
0.09,0.16,0.95,-0.31,-2.01,0.12
0.09,0.16,0.95,-0.49,-2.14,0.12
0.09,0.16,0.95,-0.43,-1.95,0.31
0.09,0.16,0.95,-0.24,-1.83,0.24
0.09,0.16,0.95,-0.31,-1.71,0.12
0.09,0.16,0.95,-0.37,-1.71,-0.12
0.09,0.16,0.95,-0.24,-1.89,-0.06
0.09,0.16,0.95,-0.24,-1.65,-0.06
0.09,0.16,0.95,-0.37,-1.77,-0.06
0.09,0.16,0.95,-0.37,-1.83,0.18
0.09,0.16,0.95,-0.43,-1.95,0.18
0.09,0.16,0.95,-0.43,-1.89,0.06
0.09,0.16,0.95,-0.43,-1.89,0.12
0.09,0.16,0.95,-0.49,-1.77,0.06
0.09,0.16,0.95,-0.49,-1.65,0.00
0.09,0.16,0.95,-0.61,-1.95,0.18
0.09,0.16,0.95,-0.61,-1.77,0.18
0.09,0.16,0.95,-0.43,-1.89,0.12
0.09,0.16,0.95,-0.43,-1.83,0.00
0.09,0.16,0.95,-0.43,-1.53,0.06
0.09,0.16,0.95,-0.49,-1.77,0.00
0.09,0.16,0.95,-0.49,-1.77,0.00
0.09,0.16,0.95,-0.49,-1.77,-0.06
0.09,0.16,0.95,-0.43,-1.71,0.06
0.09,0.16,0.95,-0.55,-1.53,0.00
0.09,0.16,0.95,-0.37,-1.95,0.06
0.09,0.16,0.95,-0.37,-1.83,-0.06
0.09,0.16,0.95,-0.31,-1.77,0.00
0.09,0.16,0.95,-0.43,-1.89,0.00
0.09,0.16,0.95,-0.31,-1.53,0.00
0.09,0.16,0.95,-0.12,-1.71,0.06
0.09,0.16,0.95,-0.31,-1.53,0.06
0.09,0.16,0.95,-0.43,-1.83,0.00
0.09,0.16,0.95,-0.43,-1.40,0.06
0.09,0.16,0.95,-0.37,-1.46,0.00
0.09,0.16,0.95,-0.37,-1.53,0.12
0.09,0.16,0.95,-0.37,-1.59,0.12
0.09,0.16,0.95,-0.43,-1.46,0.00
0.09,0.16,0.95,-0.31,-1.46,-0.06
0.09,0.16,0.95,-0.49,-1.53,0.06
0.09,0.16,0.95,-0.49,-1.53,0.00
0.09,0.16,0.95,-0.55,-1.59,0.06
0.09,0.16,0.95,-0.49,-1.53,-0.06
0.09,0.16,0.95,-0.31,-1.65,-0.06
0.09,0.16,0.95,-0.43,-1.71,0.00
0.09,0.16,0.95,-0.67,-1.46,0.06
0.09,0.16,0.95,-0.31,-1.53,0.06
0.09,0.16,0.95,-0.18,-1.71,0.18
0.09,0.16,0.95,-0.43,-1.53,0.06
0.09,0.16,0.95,-0.55,-1.77,0.06
0.09,0.16,0.95,-0.55,-1.40,-0.12
0.09,0.16,0.95,-0.37,-1.53,0.00
0.09,0.16,0.95,-0.31,-1.71,0.06
0.09,0.16,0.95,-0.31,-1.46,-0.06
0.09,0.16,0.95,-0.43,-1.95,0.06
0.09,0.16,0.95,-0.61,-1.46,0.06
0.09,0.16,0.95,-0.37,-1.71,-0.06
0.09,0.16,0.95,-0.37,-1.65,0.06
0.09,0.16,0.95,-0.49,-1.59,0.00
0.09,0.16,0.95,-0.49,-1.53,-0.12
0.09,0.16,0.95,-0.43,-1.77,0.00
0.09,0.16,0.95,-0.37,-1.89,0.06
0.09,0.16,0.95,-0.37,-1.89,0.06
0.09,0.16,0.95,-0.37,-1.77,0.18
0.09,0.16,0.95,-0.12,-1.95,0.12
0.09,0.16,0.95,-0.12,-2.20,0.24
0.09,0.16,0.95,-0.24,-2.08,0.12
0.09,0.16,0.95,-0.24,-2.08,0.06
0.09,0.16,0.95,-0.12,-2.20,0.00
0.09,0.16,0.95,-0.12,-2.08,0.12
0.09,0.16,0.95,-0.12,-2.14,0.31
0.09,0.16,0.95,-0.12,-2.26,0.18
0.09,0.16,0.95,-0.24,-2.01,0.00
0.09,0.16,0.95,-0.24,-2.32,0.06
0.09,0.16,0.95,-0.24,-2.01,0.00
0.09,0.16,0.95,-0.24,-2.26,0.06
0.09,0.16,0.95,-0.24,-2.08,0.06
0.09,0.16,0.95,-0.31,-1.83,0.06
0.09,0.16,0.95,-0.18,-1.89,0.06
0.09,0.16,0.95,-0.18,-2.01,0.12
0.09,0.16,0.95,-0.24,-2.01,0.06
0.09,0.16,0.95,-0.12,-2.08,0.31
0.09,0.16,0.95,-0.31,-2.08,0.24
0.09,0.16,0.95,-0.24,-1.77,0.12
0.09,0.16,0.95,-0.18,-1.83,0.18
0.09,0.16,0.95,-0.31,-1.65,0.12
0.09,0.16,0.95,-0.12,-2.01,0.24
0.09,0.16,0.95,-0.12,-2.14,0.12
0.09,0.16,0.95,-0.31,-2.01,0.06
0.09,0.16,0.95,-0.12,-2.01,-0.06
0.09,0.16,0.95,-0.18,-1.95,0.00
0.09,0.16,0.95,-0.18,-2.01,0.12
0.09,0.16,0.95,-0.31,-1.95,0.18
0.09,0.16,0.95,-0.24,-2.01,0.18
0.09,0.16,0.95,-0.12,-1.83,0.06
0.09,0.16,0.95,-0.18,-1.95,0.06
0.09,0.16,0.95,-0.06,-2.26,0.00
0.09,0.16,0.95,-0.18,-2.01,0.06
0.09,0.16,0.95,-0.31,-1.89,0.18
0.09,0.16,0.95,-0.31,-2.14,0.12
0.09,0.16,0.95,-0.43,-1.71,0.06
0.09,0.16,0.95,-0.24,-2.08,0.00
0.09,0.16,0.95,-0.37,-1.83,0.00
0.09,0.16,0.95,-0.18,-2.01,0.06
0.09,0.16,0.95,-0.06,-2.26,0.24
0.09,0.16,0.95,-0.18,-2.20,0.31
0.09,0.16,0.95,-0.31,-2.08,0.24
0.09,0.16,0.95,-0.18,-2.01,0.12
0.09,0.16,0.95,-0.31,-1.65,0.00
0.09,0.16,0.95,-0.37,-1.89,0.06
0.09,0.16,0.95,-0.18,-2.01,0.18
0.09,0.16,0.95,-0.24,-2.08,0.18
0.09,0.16,0.95,-0.06,-1.89,0.18
0.09,0.16,0.95,-0.12,-2.14,0.18
0.09,0.16,0.95,-0.37,-1.95,0.12
0.09,0.16,0.95,-0.31,-1.95,0.06
0.09,0.16,0.95,-0.24,-1.83,0.00
0.09,0.16,0.95,-0.37,-2.08,0.12
0.09,0.16,0.95,-0.43,-2.01,0.18
0.09,0.16,0.95,-0.18,-1.83,-0.06
0.09,0.16,0.95,-0.24,-1.71,-0.12
0.09,0.16,0.95,-0.43,-2.26,0.06
0.09,0.16,0.95,-0.12,-2.01,-0.06
0.09,0.16,0.95,-0.31,-2.01,0.00
0.09,0.16,0.95,-0.37,-1.95,0.06
0.09,0.16,0.95,-0.18,-2.08,0.06
0.09,0.16,0.95,-0.24,-1.89,0.00
0.09,0.16,0.95,-0.12,-1.95,0.12
0.09,0.16,0.95,-0.24,-2.14,0.18
0.09,0.16,0.95,-0.12,-2.01,0.06
0.09,0.16,0.95,-0.31,-1.95,0.12
0.09,0.16,0.95,-0.31,-2.01,0.06
0.09,0.16,0.95,-0.12,-2.01,0.06
0.09,0.16,0.95,-0.06,-2.20,0.12
0.09,0.16,0.95,-0.31,-2.14,0.12
0.09,0.16,0.95,-0.37,-1.89,0.06
0.09,0.16,0.95,0.00,-2.14,0.06
0.09,0.16,0.95,-0.12,-1.89,0.00
0.09,0.16,0.95,-0.12,-1.95,0.18
0.09,0.16,0.95,-0.06,-2.01,0.12
0.09,0.16,0.95,-0.18,-1.95,0.18
0.09,0.16,0.95,-0.18,-1.89,0.12
0.09,0.16,0.95,-0.18,-1.59,0.06
0.09,0.16,0.95,-0.18,-1.65,0.18
0.09,0.16,0.95,-0.24,-1.77,0.18
0.09,0.16,0.95,-0.24,-1.83,0.06
0.09,0.16,0.95,-0.18,-1.65,0.06
0.09,0.16,0.95,-0.18,-1.65,0.12
0.09,0.16,0.95,-0.31,-1.71,0.06
0.09,0.16,0.95,-0.37,-1.53,0.12
0.09,0.16,0.95,-0.31,-1.71,0.18
0.09,0.16,0.95,-0.37,-1.59,0.18
0.09,0.16,0.95,-0.37,-1.77,0.24
0.09,0.16,0.95,-0.61,-1.59,0.00
0.09,0.16,0.95,-0.55,-1.71,0.00
0.09,0.16,0.95,-0.43,-1.65,-0.06
0.09,0.16,0.95,-0.43,-1.77,0.06
0.09,0.16,0.95,-0.37,-1.77,0.12
0.09,0.16,0.95,-0.24,-1.83,0.06
0.09,0.16,0.95,-0.49,-1.71,0.00
0.09,0.16,0.95,-0.37,-1.71,0.06
0.09,0.16,0.95,-0.18,-1.83,0.12
0.09,0.16,0.95,-0.37,-1.89,0.12
0.09,0.16,0.95,-0.31,-1.65,0.24
0.09,0.16,0.95,-0.37,-1.83,0.18
0.09,0.16,0.95,-0.24,-1.89,0.18
0.09,0.16,0.95,-0.31,-1.83,0.06
0.09,0.16,0.95,-0.24,-1.59,0.00
0.09,0.16,0.95,-0.24,-1.53,0.06
0.09,0.16,0.95,-0.12,-1.65,0.18
0.09,0.16,0.95,-0.37,-1.59,0.12
0.09,0.16,0.95,-0.37,-1.77,0.06
0.09,0.16,0.95,-0.31,-1.53,-0.12
0.09,0.16,0.95,-0.31,-1.53,0.12
0.09,0.16,0.95,-0.37,-1.65,0.12
0.09,0.16,0.95,-0.31,-1.65,0.00
0.09,0.16,0.95,-0.12,-1.77,0.06
0.09,0.16,0.95,0.06,-2.01,0.12
0.09,0.16,0.95,-0.49,-1.59,0.06
0.09,0.16,0.95,-0.55,-2.08,-0.06
0.09,0.16,0.95,-0.24,-2.26,0.18
0.09,0.16,0.95,0.12,-2.20,0.18
0.09,0.16,0.95,-0.06,-2.44,0.18
0.09,0.16,0.95,-0.43,-2.08,0.18
0.09,0.16,0.95,-0.31,-1.89,0.06
0.09,0.16,0.95,-0.31,-2.08,0.12
0.09,0.16,0.95,-0.18,-2.08,0.00
0.09,0.16,0.95,-0.49,-1.77,0.00
0.09,0.16,0.95,-0.24,-2.08,0.24
0.09,0.16,0.95,-0.31,-1.71,0.00
0.09,0.16,0.95,-0.24,-1.95,0.00
0.09,0.16,0.95,-0.12,-1.95,0.00
0.09,0.16,0.95,-0.31,-2.08,0.18
0.09,0.16,0.95,-0.37,-1.83,0.06
0.09,0.16,0.95,-0.24,-2.01,0.12
0.09,0.16,0.95,-0.49,-1.71,0.06
0.09,0.16,0.95,-0.31,-1.71,0.12
0.09,0.16,0.95,-0.31,-1.77,0.12
0.09,0.16,0.95,-0.31,-1.89,0.06
0.09,0.16,0.95,-0.18,-1.89,0.06
0.09,0.16,0.95,-0.49,-1.71,0.00
0.09,0.16,0.95,-0.31,-1.83,0.12
0.09,0.16,0.95,-0.24,-1.71,0.12
0.09,0.16,0.95,-0.43,-1.46,0.12
0.09,0.16,0.95,-0.24,-1.65,0.18
0.09,0.16,0.95,-0.18,-1.65,0.06
0.09,0.16,0.95,-0.24,-1.89,0.18
0.09,0.16,0.95,-0.37,-1.46,0.12
0.09,0.16,0.95,-0.24,-1.83,0.18
0.09,0.16,0.95,-0.18,-1.89,0.18
0.09,0.16,0.95,-0.18,-1.95,0.24
0.09,0.16,0.95,-0.24,-1.65,-0.06
0.09,0.16,0.95,-0.43,-1.71,0.12
0.09,0.16,0.95,-0.61,-1.65,0.12
0.09,0.16,0.95,-0.43,-1.71,0.12
0.09,0.16,0.95,-0.24,-1.83,0.18
0.09,0.16,0.95,-0.24,-1.59,0.12
0.09,0.16,0.95,-0.24,-1.77,0.06
0.09,0.16,0.95,-0.31,-1.83,0.12
0.09,0.16,0.95,-0.31,-1.46,0.06
0.09,0.16,0.95,-0.31,-1.65,0.00
0.09,0.16,0.95,-0.24,-1.83,0.18
0.09,0.16,0.95,-0.37,-1.65,0.18
0.09,0.16,0.95,-0.37,-1.95,0.24
0.09,0.16,0.95,-0.43,-1.77,0.06
0.09,0.16,0.95,-0.31,-2.14,0.18
0.09,0.16,0.95,-0.06,-2.38,0.06
0.09,0.16,0.95,-0.31,-1.95,0.00
0.09,0.16,0.95,-0.37,-2.01,0.12
0.09,0.16,0.95,-0.37,-1.83,0.06
0.09,0.16,0.95,-0.24,-1.83,0.06
0.09,0.16,0.95,-0.37,-2.01,0.00
0.08,0.16,0.95,-0.06,-2.20,0.12
0.08,0.16,0.95,-0.06,-2.20,0.24
0.09,0.16,0.95,-0.49,-1.89,0.18
0.09,0.16,0.95,-0.31,-2.01,0.24
0.09,0.16,0.95,0.06,-1.83,0.18
0.09,0.16,0.95,-0.37,-2.01,0.12
0.09,0.16,0.95,-0.31,-1.71,0.00
0.09,0.16,0.95,-0.12,-1.83,0.24
0.09,0.16,0.95,-0.06,-1.77,0.00
0.09,0.16,0.95,-0.24,-2.01,0.12
0.09,0.16,0.95,-0.37,-1.89,0.24
0.09,0.16,0.95,-0.37,-1.53,0.06
0.09,0.16,0.95,-0.24,-1.65,0.06
0.09,0.16,0.95,-0.18,-1.89,0.12
0.09,0.16,0.95,-0.31,-1.65,0.00
0.09,0.16,0.95,-0.31,-1.65,0.06
0.09,0.16,0.95,-0.37,-1.83,0.12
0.09,0.16,0.95,-0.49,-1.53,0.00
0.09,0.16,0.95,-0.49,-1.77,0.12
0.09,0.16,0.95,-0.43,-1.59,0.06
0.09,0.16,0.95,-0.18,-1.53,0.12
0.09,0.16,0.95,-0.43,-1.46,0.06
0.09,0.16,0.95,-0.37,-1.65,0.00
0.09,0.16,0.95,-0.43,-1.71,0.00
0.09,0.16,0.95,-0.37,-1.53,0.12
0.09,0.16,0.95,-0.31,-1.53,0.24
0.09,0.16,0.95,-0.24,-1.77,0.18
0.09,0.16,0.95,-0.24,-1.95,0.18
0.09,0.16,0.95,-0.43,-2.08,0.06
0.09,0.16,0.95,-0.37,-1.95,0.06
0.09,0.16,0.95,-0.31,-1.83,0.18
0.09,0.16,0.95,-0.12,-1.83,0.18
0.09,0.16,0.95,-0.18,-1.65,0.12
0.09,0.16,0.95,-0.18,-1.65,0.06
0.09,0.16,0.95,-0.31,-1.89,-0.06
0.09,0.16,0.95,-0.24,-1.83,0.06
0.09,0.16,0.95,0.00,-2.01,0.00
0.09,0.16,0.95,-0.37,-1.95,0.18
0.09,0.16,0.95,-0.31,-1.95,0.06
0.09,0.16,0.95,-0.24,-2.01,0.12
0.09,0.16,0.95,-0.18,-2.20,0.00
0.09,0.16,0.95,-0.18,-2.14,0.00
0.09,0.16,0.95,-0.24,-2.20,0.06
0.09,0.16,0.95,-0.12,-2.08,0.00
0.09,0.16,0.95,-0.31,-2.01,0.06
0.09,0.16,0.95,-0.31,-1.95,0.00
0.09,0.16,0.95,-0.31,-1.89,0.00
0.09,0.16,0.95,-0.31,-1.71,0.00
0.09,0.16,0.95,-0.31,-1.53,0.00
0.09,0.16,0.95,-0.18,-1.83,0.06
0.09,0.16,0.95,-0.31,-1.46,0.06
0.09,0.16,0.95,-0.43,-1.53,0.00
0.09,0.16,0.95,-0.31,-1.46,0.00
0.09,0.16,0.95,-0.43,-1.59,0.12
0.09,0.16,0.95,-0.43,-1.59,0.00
0.09,0.16,0.95,-0.37,-1.71,0.06
0.09,0.16,0.95,-0.37,-1.59,0.06
0.09,0.16,0.95,-0.24,-1.71,0.18
0.09,0.16,0.95,-0.24,-1.46,0.06
0.09,0.16,0.95,-0.43,-1.46,-0.06
0.09,0.16,0.95,-0.37,-1.59,0.12
0.09,0.16,0.95,-0.24,-1.59,0.12
0.09,0.16,0.95,-0.24,-1.59,0.06
0.09,0.16,0.95,-0.12,-1.71,0.18
0.09,0.16,0.95,-0.31,-1.46,0.18
0.09,0.16,0.95,-0.37,-1.77,0.18
0.09,0.16,0.95,-0.24,-1.71,-0.06
0.09,0.16,0.95,-0.18,-1.83,-0.06
0.09,0.16,0.95,-0.37,-1.89,0.06
0.09,0.16,0.95,-0.31,-1.71,0.06
0.09,0.16,0.95,-0.49,-1.46,0.06
0.09,0.16,0.95,-0.24,-1.71,0.12
0.09,0.16,0.95,-0.24,-1.95,0.18
0.09,0.16,0.95,-0.37,-1.77,0.12
0.09,0.16,0.95,-0.31,-1.71,0.24
0.09,0.16,0.95,-0.37,-1.65,0.00
0.09,0.16,0.95,-0.31,-1.95,-0.06
0.09,0.16,0.95,-0.24,-1.83,0.12
0.09,0.16,0.95,-0.55,-1.65,0.00
0.09,0.16,0.95,-0.31,-1.89,0.18
